,key,val
247,Năng lượng tái tạo,7540106
248,Hệ thống điện_Chất lượng cao,7520118
249,Điện công nghiệp và dân dụng _ Chất lượng cao,7520117
250,Điện tử viễn thông_Chất lượng cao,7520207
251,Công nghệ tự động_Chất lượng cao,7510303
252,Quản lý môi trường công nghiệp và đô thị,7510406
253,Quản lý năng lượng _Chất lượng cao,7540106
254,Xây dựng dân dụng và công nghiệp,75802
255,Thủy điện,76203
256,Công nghệ kĩ thuật công trình xây dựng,7510102
257,Công nghệ kĩ thuật cơ khí,75102
258,Công nghệ kĩ thuật cơ điện tử,7510203
259,"Công nghệ kĩ thuật điện tử, truyền thông",7320106
260,"Công nghệ kĩ thuật điện, điện tử",7510301
261,Quản trị du lịch khách sạn ((Lớp đặt ở Vinh),7810201
262,Kế toán (Lớp đặt ở Vinh),73403
263,Điện công nghiệp và dân dụng (Lớp đặt ở Vinh),76201
264,Hệ thống điện (Lớp đặt ở Vinh),7480104
265,Công nghệ kĩ thuật điện tử truyền thông (Điện tử viễn thông),7510302
266,"Công nghệ kĩ thuật điện tử truyền thông với các chuyên ngành: Điện tử viễn thông, Kỹ thuật điện tử",75103
267,Tài chính ngân hàng (Lớp đặt ở Vinh),7340201
268,Điện tử y sinh,7520212
269,Công nghệ cơ khí,75102
270,Công nghệ Cơ điện tử,7510203
271,HTĐ (Lớp đặt ở CĐSP Ninh Thuận),7860101
272,HTĐ (Lớp đặt ở Vinh),77205
273,nhiệt điện,7520201
274,Điện công nghiệp và dân dụng (Lớp đặt ở ĐH Vinh),76201
275,Kế toán doanh nghiệp (Lớp đặt ở Vinh),7620114
276,HTĐ (Lớp đặt ở ĐH Vinh),77205
277,Hệ thống điện (HTĐ),7480104
278,Kỹ thuật địa chất,7520501
279,Kỹ thuật Trắc địa - Bản đồ,7520503
280,Kỹ thuật mỏ,75206
281,Kỹ thuật tuyển khoáng,7520607
282,Kỹ thuật trắc địa – Bản đồ; chuyên ngành: Trắc địa mỏ,7520503
283,Công nghệ kỹ thuật điều khiển và tự động hoá,7520216
284,Kỹ thuật Trắc địa-Bản đồ,7520503
285,Kỹ thuật trắc địa - bản đồ,7520503
286,Công nghệ kĩ thuật điều khiển và tự động hoá,7520216
287,Kĩ thuật trắc địa - bản đồ,7520503
288,Kĩ thuật mỏ,75206
289,Kĩ thuật tuyển khoáng,7520607
290,Tin học ứng dụng,74202
291,Công nghệ kĩ thuật ô tô,7510205
292,Công nghệ kĩ thuật mỏ,75206
293,Công nghệ tuyển khoáng,7520607
294,Công nghệ kĩ thuật địa chất,7520501
295,Công nghệ kĩ thuật trắc địa,7520503
296,Công nghệ kỹ thuật mỏ; chuyên ngành:Khai thác mỏ hầm lò,75206
297,"Công nghệ kỹ thuật điện, điện tử; chuyên ngành:Công nghệ cơ điện tuyển khoáng",7510301
298,"Công nghệ kỹ thuật điện, điện tử; chuyên ngành: Công nghệ kỹ thuật điện",7510301
299,"Công nghệ kỹ thuật điện, điện tử; chuyên ngành: Công nghệ kỹ thuật điện tử",7510301
300,"Công nghệ kỹ thuật điện, điện tử; chuyên ngành:Công nghệ cơ điện mỏ",7510301
301,Kỹ thuật trắc địa – Bản đồ; chuyên ngành:Trắc địa công trình,7520503
302,Kỹ thuật mỏ; chuyên ngành: Kỹ thuật mỏ hầm lò,75206
303,Kỹ thuật mỏ; chuyên ngành:Kỹ thuật mỏ lộ thiên,75206
304,Công nghệ kỹ thuật ôtô,7510205
305,"Công nghệ kỹ thuật điện, điện tử; chuyên ngành: Máy và thiết bị mỏ",7510301
306,"Công nghệ kỹ thuật điện, điện tử; chuyên ngành:Cơ điện tuyển khoáng",7510301
307,"Công nghệ kỹ thuật điện, điện tử; chuyên ngành: Cơ điện mỏ",7510301
308,"Công nghệ kỹ thuật điện, điện tử; chuyên ngành:Công nghệ kỹ thuật điện tử",7510301
309,Công nghệ kỹ thuật mỏ; chuyên ngành:Khai thác mỏ lộ thiên,75206
310,Công nghệ kỹ thuật địa chất,7520501
311,Công nghệ kỹ thuật trắc địa; chuyên ngành: Trắc địa công trình,7520503
312,Công nghệ kỹ thuật trắc địa; chuyên ngành: trắc địa mỏ,7520503
313,Quan hệ công chúng,7320108
314,Tiếng Anh,7140231
315,Xây dựng,75802
316,Quản trị dịch vụ Du lịch và Lữ hành,7810103
317,Quan hệ công chúng.,7320108
318,Quan hệ công chúng – truyền thông,7320108
319,Kĩ thuật công trình xây dựng,7510102
320,Kỹ thuật công trình xây dựng (Chuyên ngành Xây dựng dân dụng và công nghiệp),7510102
321,Công nghệ Thông tin (Chuyên ngành Hệ thống thông tin. Công nghệ phần mềm. Mạng và truyền thông máy tính),74802
322,Tiếng Anh Thương mại,7340121
323,Tiếng Trung (Chuyên ngành Biên dịch. Phiên dịch),7850102
324,Tài chính- Ngân hàng,7340201
325,Kỹ thuật công trình XD,7510102
326,Tiếng Trung,7140234
327,Kế toán,73403
328,Luật kinh tế,7380107
329,Kỹ thuật xây dựng (Chuyên ngành Xây dựng dân dụng & công nghiệp),75802
330,Giáo dục Tiểu học,7140202
331,Kinh tế phát triển,7310105
332,Quản trị kinh doanh tổng quát,7340101
333,Kinh doanh thương mại,7340121
334,Công nghệ Sinh học,7420201
335,Kinh doanh nông nghiệp,7620114
336,Sư phạm Toán học,7140209
337,Kinh tế,7310101
338,Tài chính - ngân hàng,7340201
339,Giáo dục tiểu học,7140202
340,CN Kỹ thuật Công trình xây dựng,7510102
341,Quản trị kinh doanh(Chuyên ngành Quản trị kinh doanh tổng quát),7340101
342,Kế toán (Kế toán doanh nghiệp),73403
343,Kinh doanh thương mại (Chuyên ngành Quản trị doanh nghiệp thương mại),7340121
344,Ngân hàng,7340201
345,Xây dựng Cầu - Đường,75802
346,Kinh tế Xây dựng và Quản lý Dự án,7580301
347,Quản trị Kinh doanh tổng quát,7340101
348,Quản trị kinh doanh thương mại,7340121
349,CNKT Công trình xây dựng,7510102
350,Tài chính Doanh nghiệp,7620114
351,Sư phạm Âm nhạc,7140221
352,Lịch sử (chuyên ngành Quan hệ quốc tế),7310206
353,Văn học,7229030
354,Văn hoá học,7229030
355,Tâm lý học,73104
356,Địa lý học (Chuyên ngành: Địa lý du lịch),73105
357,Báo chí,7320101
358,Vật lý học (Chuyên ngành Điện tử-Công nghệ Viễn thông),7510302
359,Hóa học,7440112
360,Khoa học môi trường,74403
361,Toán ứng dụng,7460112
362,Công nghệ thông tin (đặc thù),74802
363,Công tác xã hội,77601
364,Quản lý tài nguyên và môi trường,78501
365,Giáo dục mầm non,7140201
366,Giáo dục chính trị,7140205
367,Sư phạm Tin học,7140210
368,Sư phạm Vật lý,7140211
369,Sư phạm hóa học,7140212
370,Sư phạm Sinh học,7140213
371,Sư phạm Ngữ văn,7140217
372,Sư phạm Lịch sử,7140218
373,Sư phạm Địa lý,7140219
374,Lịch sử,7229010
375,Tâm lý học (Chất lượng cao),73104
376,Địa lý du lịch,78101
377,Việt Nam học,7310630
378,Việt Nam học (Chất lượng cao),7310630
379,Báo chí (Chất lượng cao),7320101
380,Vật lý học,7440102
381,Hóa học (hóa dược),7720203
382,Hóa học (Chuyên ngành Hóa Dược-Chất lượng cao),7720203
383,Khoa học môi trường,74403
384,Công nghệ thông tin (CLC),74802
385,Quản lý tài nguyên và môi trường (Chất lượng cao),78501
386,Giáo dục Chính trị,7140205
387,Văn hóa học,7229040
388,Địa lý học,73105
389,Hóa học,7440112
390,Địa lý tự nhiên,7440217
391,Giáo dục Mầm non,7140201
392,Sư phạm Hóa học,7140212
393,Hóa học (Phân tích môi trường),74403
394,Việt Nam học(Chuyên ngành Văn hóa - Du lịch),7310630
395,Toán ứng dụng(Chuyên ngành Toán ứng dụng trong kinh tế),7460112
396,Việt Nam học (chuyên ngành Văn hóa - Du lịch),7310630
397,Địa lý tài nguyên môi trường,78501
398,Toán ứng dụng (chuyên ngành Toán ứng dụng trong kinh tế),7460112
399,Quản lý tài nguyên - Môi trường,78501
400,Sư phạm Toán,7140209
401,Sư phạm Lý,7140218
402,Công nghệ Toán - Tin,74802
403,Cử nhân Công nghệ thông tin,74802
404,Sư phạm Tin,7140210
405,Vật lý,7440102
406,Sư phạm Hoá,7140212
407,Hóa học (phân tích môi trường),74403
408,Hóa học (Hóa dược),7720203
409,Cử nhân khoa học môi trường,74403
410,QLTN - Môi trường,7520320
411,Ngữ văn,7140217
412,Cử nhân Tâm lý học.,73104
413,Cử nhân Địa lý,73105
414,Cử nhân báo chí,7320101
415,Sư phạm GD tiểu học,7140202
416,Sư phạm GD Mầm non,7140201
417,Sư phạm Hóa,7140212
418,Công nghệ Hóa học,7510401
419,Hóa dược,7720203
420,Khoa học Môi trường,74403
421,Cử nhân Sinh - Môi trường,7520320
422,Sư phạm Giáo dục Chính trị,7140205
423,Sư phạm Văn,7140217
424,Sư phạm Sử,7140213
425,Cử nhân Văn học,722
426,Cử nhân Tâm lý học,73104
427,SP GD Thể chất,7140206
428,Y khoa,7720101
429,Răng - Hàm -Mặt,7720501
430,Y đa khoa,7720101
431,Răng - Hàm - Mặt,7720501
432,Kinh doanh quốc tế,7340120
433,Hệ thống thông tin quản lý,7340405
434,Hệ thống thông tin quản Lí,7340405
435,Kiêm toán,7340302
436,Kiểm toán.,7340302
437,Luật,73801
438,Luật học,73801
439,Khối D,7440228
440,Khối C,74602
